English_title,Year,Dir_or_prod,Studio,Award_mains,Mains_cat,Award_fest,Fest_cat,Production_country
Shine,1996-01-01,"Scott Hicks, Jane Scott",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Michael Collins,1996-01-01,"Chris Menges, Neil Jordan",,1,Oscar - Best Cinematography,1,Venise - Lion d'Or,"Ireland, United Kingdom"
Jerry Maguire,1996-01-01,"James L. Brooks, Laurence Mark, Richard Sakai, and Cameron Crowe",,1,Oscar - Best Film,0,,
Nelly and Mr. Arnaud,1996-01-01,"Claude Sautet, Claude Sautet",,1,"César - Best Director, César - Best Film",0,,
The Horseman on the Roof,1996-01-01,"Jean-Paul Rappeneau, Jean-Paul Rappeneau",,1,"César - Best Director, César - Best Film",0,,
Crash ‡,1996-01-01,David Cronenberg,,0,,0,,"Canada, United Kingdom"
Secrets & Lies,1996-01-01,"Mike Leigh, Simon Channing-Williams, Mike Leigh",,1,"Oscar - Best Director, Oscar - Best Film",1,Cannes - Palme d'Or,"France, United Kingdom"
Microcosmos,1997-01-01,Claude Nuridsany and Marie Pérennou,,1,César - Best Film,0,,
As Good as It Gets,1997-01-01,"James L. Brooks, Bridget Johnson, and Kristi Zea",,1,Oscar - Best Film,0,,
Taste of Cherry,1997-01-01,Abbas Kiarostami,,0,,1,Cannes - Palme d'Or,Iran
The Eel,1997-01-01,Shohei Imamura,,0,,1,Cannes - Palme d'Or,Japan
Titanic,1997-01-01,"Russell Carpenter, James Cameron, James Cameron and Jon Landau",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Captain Conan,1997-01-01,"Bertrand Tavernier, Bertrand Tavernier",,1,"César - Best Director, César - Best Film",0,,
Family Resemblances,1997-01-01,"Cédric Klapisch, Cédric Klapisch",,1,"César - Best Director, César - Best Film",0,,
The Sweet Hereafter,1997-01-01,"Atom Egoyan, Atom Egoyan",,1,Oscar - Best Director,1,Cannes - Grand Prix,Canada
Good Will Hunting,1997-01-01,"Gus Van Sant, Lawrence Bender",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Hana-bi,1997-01-01,Takeshi Kitano,,0,,1,Venise - Lion d'Or,Japan
Pédale douce,1997-01-01,Gabriel Aghion,,1,César - Best Film,0,,
The Wings of the Dove,1997-01-01,Eduardo Serra,,1,Oscar - Best Cinematography,0,,
Kundun,1997-01-01,Roger Deakins,,1,Oscar - Best Cinematography,0,,
L.A. Confidential,1997-01-01,"Dante Spinotti, Curtis Hanson, Curtis Hanson, Arnon Milchan, and Michael Nathanson",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Ovosodo,1997-01-01,Paolo Virzì,,0,,1,Venise - Grand Prix du Jury,Italy
Amistad,1997-01-01,Janusz Kamiński,,1,Oscar - Best Cinematography,0,,
Ridicule,1997-01-01,"Patrice Leconte, Patrice Leconte",,1,"César - Best Director, César - Best Film",0,,
The Full Monty,1997-01-01,"Peter Cattaneo, Uberto Pasolini",,1,"Oscar - Best Director, Oscar - Best Film",0,,
A Self Made Hero,1997-01-01,Jacques Audiard,,1,César - Best Director,0,,
Thieves,1997-01-01,"André Téchiné, André Téchiné",,1,"César - Best Director, César - Best Film",0,,
Marius and Jeannette,1998-01-01,"Robert Guédiguian, Robert Guédiguian",,1,"César - Best Director, César - Best Film",0,,
Eternity and a Day ,1998-01-01,Theo Angelopoulos,,0,,1,Cannes - Palme d'Or,Greece
On Guard,1998-01-01,Philippe de Broca,,1,César - Best Film,0,,
Life Is Beautiful,1998-01-01,"Roberto Benigni, Elda Ferri and Gianluigi Braschi, Roberto Benigni",,1,"Oscar - Best Director, Oscar - Best Film",1,Cannes - Grand Prix,Italy
Next Stop Paradise,1998-01-01,Lucian Pintilie,,0,,1,Venise - Grand Prix du Jury,"France, Romania"
"Black Cat, White Cat",1998-01-01,Emir Kusturica,,0,,1,Venise - Lion d'Argent,
Class Trip,1998-01-01,Claude Miller,,0,,0,,France
The Celebration,1998-01-01,Thomas Vinterberg,,0,,0,,Denmark
The Truman Show,1998-01-01,Peter Weir,,1,Oscar - Best Director,0,,
The Way We Laughed,1998-01-01,Gianni Amelio,,0,,1,Venise - Lion d'Or,Italy
The Cousin,1998-01-01,Alain Corneau,,1,César - Best Director,0,,
The Thin Red Line,1998-01-01,"John Toll, Terrence Malick, Robert Michael Geisler, John Roberdeau, and Grant Hill",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Fifth Element,1998-01-01,"Luc Besson, Luc Besson",,1,"César - Best Director, César - Best Film",0,,
Elizabeth,1998-01-01,"Remi Adefarasin, Alison Owen, Eric Fellner and Tim Bevan",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Saving Private Ryan,1998-01-01,"Janusz Kamiński, Steven Spielberg, Steven Spielberg, Ian Bryce, Mark Gordon, and Gary Levinsohn",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Western,1998-01-01,"Manuel Poirier, Manuel Poirier, Manuel Poirier",,1,"César - Best Director, César - Best Film",0,,France
Same Old Song,1998-01-01,"Alain Resnais, Alain Resnais",,1,"César - Best Director, César - Best Film",0,,
A Civil Action,1998-01-01,Conrad L. Hall,,1,Oscar - Best Cinematography,0,,
Shakespeare in Love,1998-01-01,"Richard Greatrex, John Madden, David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick, and Marc Norman",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Dinner Game,1999-01-01,"Francis Veber, Francis Veber",,1,"César - Best Director, César - Best Film",0,,
Seventeen Years,1999-01-01,Zhang Yuan,,0,,1,Venise - Lion d'Argent,
Those Who Love Me Can Take the Train,1999-01-01,"Patrice Chéreau, Patrice Chéreau",,1,"César - Best Director, César - Best Film",0,,
The Cider House Rules,1999-01-01,"Lasse Hallström, Richard N. Gladstein",,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Dreamlife of Angels,1999-01-01,"Erick Zonca, Erick Zonca",,1,"César - Best Director, César - Best Film",0,,
Being John Malkovich,1999-01-01,Spike Jonze,,1,Oscar - Best Director,0,,
Taxi,1999-01-01,"Gérard Pirès, Gérard Pirès",,1,"César - Best Director, César - Best Film",0,,
Sleepy Hollow,1999-01-01,Emmanuel Lubezki,,1,Oscar - Best Cinematography,0,,
Snow Falling on Cedars,1999-01-01,Robert Richardson,,1,Oscar - Best Cinematography,0,,
The End of the Affair,1999-01-01,Roger Pratt,,1,Oscar - Best Cinematography,0,,
Place Vendôme,1999-01-01,"Nicole Garcia, Nicole Garcia",,1,"César - Best Director, César - Best Film",0,,
Rosetta ,1999-01-01,Jean-Pierre & Luc Dardenne,,0,,1,Cannes - Palme d'Or,Belgium
Humanité,1999-01-01,Bruno Dumont,,0,,1,Cannes - Grand Prix,France
The Green Mile,1999-01-01,Frank Darabont and David Valdes,,1,Oscar - Best Film,0,,
American Beauty,1999-01-01,"Conrad L. Hall, Sam Mendes, Bruce Cohen and Dan Jinks",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Wind Will Carry Us,1999-01-01,Abbas Kiarostami,,0,,1,Venise - Grand Prix du Jury,"France, Iran"
The Insider,1999-01-01,"Dante Spinotti, Michael Mann, Pieter Jan Brugge and Michael Mann",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Sixth Sense,1999-01-01,"M. Night Shyamalan, Frank Marshall, Kathleen Kennedy, and Barry Mendel",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Not One Less,1999-01-01,Zhang Yimou,,0,,1,Venise - Lion d'Or,China
Billy Elliot,2000-01-01,Stephen Daldry,,1,Oscar - Best Director,0,,
Traffic,2000-01-01,"Steven Soderbergh, Edward Zwick, Marshall Herskovitz, and Laura Bickford",,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Patriot,2000-01-01,"Caleb Deschanel, Ernst Lubitsch",Paramount Famous Lasky,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Children of the Marshland,2000-01-01,"Jean Becker, Jean Becker",,1,"César - Best Director, César - Best Film",0,,
Before Night Falls,2000-01-01,Julian Schnabel,,0,,1,Venise - Grand Prix du Jury,United States
The Messenger: The Story of Joan of Arc,2000-01-01,"Luc Besson, Luc Besson",,1,"César - Best Director, César - Best Film",0,,
Sachs' Disease,2000-01-01,Michel Deville,,1,César - Best Director,0,,
Songs from the Second Floor,2000-01-01,Roy Andersson,,0,,0,,"Sweden, France"
Dancer in the Dark,2000-01-01,Lars von Trier,,0,,1,Cannes - Palme d'Or,Denmark
Devils on the Doorstep,2000-01-01,Jiang Wen,,0,,1,Cannes - Grand Prix,China
Gladiator,2000-01-01,"John Mathieson, Ridley Scott, Douglas Wick, David Franzoni, and Branko Lustig",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Girl on the Bridge,2000-01-01,"Patrice Leconte, Patrice Leconte",,1,"César - Best Director, César - Best Film",0,,
"Crouching Tiger, Hidden Dragon",2000-01-01,"Peter Pau, Ang Lee, William Kong, Hsu Li-kong, and Ang Lee",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Malèna,2000-01-01,Lajos Koltai,,1,Oscar - Best Cinematography,0,,
East/West,2000-01-01,"Régis Wargnier, Régis Wargnier",,1,"César - Best Director, César - Best Film",0,,
Erin Brockovich,2000-01-01,"Steven Soderbergh, Danny DeVito, Michael Shamberg, and Stacey Sher",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Chocolat,2000-01-01,"David Brown, Kit Golden, and Leslie Holleran",,1,Oscar - Best Film,0,,
"O Brother, Where Art Thou?",2000-01-01,Roger Deakins,,1,Oscar - Best Cinematography,0,,
Venus Beauty Institute,2000-01-01,"Tonie Marshall, Tonie Marshall",,1,"César - Best Director, César - Best Film",0,,
The Circle,2000-01-01,Jafar Panahi,,0,,1,Venise - Lion d'Or,Iran
Uttara,2000-01-01,Buddhadeb Dasgupta,,0,,1,Venise - Lion d'Argent,
Blackboards,2000-01-01,Samira Makhmalbaf,,0,,0,,"Iran, Italy"
The Taste of Others,2001-01-01,"Agnès Jaoui, Agnès Jaoui",,1,"César - Best Director, César - Best Film",0,,
A Beautiful Mind,2001-01-01,"Ron Howard, Brian Grazer and Ron Howard",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Secret Ballot,2001-01-01,Babak Payami,,0,,1,Venise - Lion d'Argent,
The Man Who Wasn't There,2001-01-01,Roger Deakins,,1,Oscar - Best Cinematography,0,,
Black Hawk Down,2001-01-01,"Sławomir Idziak, Ridley Scott",,1,"Oscar - Best Cinematography, Oscar - Best Director",0,,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,"Andrew Lesnie, Peter Jackson, Peter Jackson, Fran Walsh, and Barrie M. Osborne",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The King's Daughters,2001-01-01,Patricia Mazuy,,1,César - Best Film,0,,
A Question of Taste,2001-01-01,Bernard Rapp,,1,César - Best Film,0,,
Saint-Cyr,2001-01-01,Patricia Mazuy,,1,César - Best Director,0,,
The Crimson Rivers,2001-01-01,Mathieu Kassovitz,,1,César - Best Director,0,,
In the Bedroom,2001-01-01,"Graham Leader, Ross Katz, and Todd Field",,1,Oscar - Best Film,0,,
Monsoon Wedding,2001-01-01,Mira Nair,,0,,1,Venise - Lion d'Or,India
Gosford Park,2001-01-01,"Robert Altman, Robert Altman, Bob Balaban, and David Levy",,1,"Oscar - Best Director, Oscar - Best Film",0,,
"Harry, He's Here to Help",2001-01-01,"Dominik Moll, Dominik Moll",,1,"César - Best Director, César - Best Film",0,,
Amélie,2001-01-01,"Bruno Delbonnel, Jean-Pierre Jeunet, Jean-Pierre Jeunet",,1,"Oscar - Best Cinematography, César - Best Director, César - Best Film",0,,
The Son's Room,2001-01-01,Nanni Moretti,,0,,1,Cannes - Palme d'Or,Italy
Murderous Maids,2001-01-01,"Jean-Pierre Denis, Jean-Pierre Denis",,1,"César - Best Director, César - Best Film",0,,
Moulin Rouge!,2001-01-01,"Donald McAlpine, Martin Brown, Baz Luhrmann, and Fred Baron",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
The Piano Teacher,2001-01-01,Michael Haneke,,0,,1,Cannes - Grand Prix,"France, Austria, Germany"
Dog Days,2001-01-01,Ulrich Seidl,,0,,1,Venise - Grand Prix du Jury,Austria
Mulholland Drive,2001-01-01,David Lynch,,1,Oscar - Best Director,0,,
The Pianist,2002-01-01,"Paweł Edelman, Roman Polanski, Roman Polanski, Robert Benmussa, and Alain Sarde, Roman Polanski (won the Academy Award), Roman Polanski, Roman Polanski",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film, César - Best Director, César - Best Film",1,Cannes - Palme d'Or,"Poland, France, Germany, United Kingdom"
Oasis,2002-01-01,Lee Chang-dong,,0,,1,Venise - Lion d'Argent,
Read My Lips,2002-01-01,"Jacques Audiard, Jacques Audiard",,1,"César - Best Director, César - Best Film",0,,
Gangs of New York,2002-01-01,"Michael Ballhaus, Martin Scorsese, Alberto Grimaldi and Harvey Weinstein",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Lord of the Rings: The Two Towers,2002-01-01,"Barrie M. Osborne, Fran Walsh, and Peter Jackson",,1,Oscar - Best Film,0,,
The Magdalene Sisters,2002-01-01,Peter Mullan,,0,,1,Venise - Lion d'Or,"Ireland, United Kingdom"
Under the Sand,2002-01-01,"François Ozon, François Ozon",,1,"César - Best Director, César - Best Film",0,,
Divine Intervention,2002-01-01,Elia Suleiman,,0,,0,,"Palestine, Morocco, France, Germany"
The Man Without a Past,2002-01-01,Aki Kaurismäki,,0,,1,Cannes - Grand Prix,Finland
Road to Perdition,2002-01-01,Conrad Hall (posthumously),,1,Oscar - Best Cinematography,0,,
Talk to Her,2002-01-01,Pedro Almodóvar,,1,Oscar - Best Director,0,,
The Hours,2002-01-01,"Stephen Daldry, Scott Rudin and Robert Fox",,1,"Oscar - Best Director, Oscar - Best Film",0,,
House of Fools,2002-01-01,Andrei Konchalovsky,,0,,1,Venise - Grand Prix du Jury,Russia
Chaos,2002-01-01,Coline Serreau,,1,César - Best Film,0,,
Far from Heaven,2002-01-01,Edward Lachman,,1,Oscar - Best Cinematography,0,,
Chicago,2002-01-01,"Dion Beebe, Rob Marshall, Martin Richards",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Intimacy,2002-01-01,Patrice Chéreau,,1,César - Best Director,0,,
The Officers' Ward,2002-01-01,"François Dupeyron, François Dupeyron",,1,"César - Best Director, César - Best Film",0,,
Cold Mountain,2003-01-01,John Seale,,1,Oscar - Best Cinematography,0,,
8 Women,2003-01-01,"François Ozon, François Ozon",,1,"César - Best Director, César - Best Film",0,,
Zatōichi,2003-01-01,Takeshi Kitano,,0,,1,Venise - Lion d'Argent,
The Spanish Apartment (a.k.a. Pot Luck),2003-01-01,Cédric Klapisch,,1,César - Best Film,0,,
Elephant,2003-01-01,Gus Van Sant,,0,,1,Cannes - Palme d'Or,United States
The Return,2003-01-01,Andrey Zvyagintsev,,0,,1,Venise - Lion d'Or,Russia
The Lord of the Rings: The Return of the King,2003-01-01,"Peter Jackson, Barrie M. Osborne, Peter Jackson, and Fran Walsh",,1,"Oscar - Best Director, Oscar - Best Film",0,,
At Five in the Afternoon,2003-01-01,Samira Makhmalbaf,,0,,0,,"Iran, France"
Uzak,2003-01-01,Nuri Bilge Ceylan,,0,,1,Cannes - Grand Prix,Turkey
Amen.,2003-01-01,"Costa Gavras, Costa-Gavras",,1,"César - Best Director, César - Best Film",0,,
To Be and to Have,2003-01-01,"Nicolas Philibert, Nicolas Philibert",,1,"César - Best Director, César - Best Film",0,,
City of God,2003-01-01,"César Charlone, Fernando Meirelles",,1,"Oscar - Best Cinematography, Oscar - Best Director",0,,
The Spanish Apartement (a.k.a. Pot Luck),2003-01-01,Cédric Klapisch,,1,César - Best Director,0,,
The Kite,2003-01-01,Randa Chahal,,0,,1,Venise - Grand Prix du Jury,"France, Lebanon"
Mystic River,2003-01-01,"Clint Eastwood, Robert Lorenz, Judie G. Hoyt, and Clint Eastwood",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Lost in Translation,2003-01-01,"Sofia Coppola, Ross Katz and Sofia Coppola",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Master and Commander: The Far Side of the World,2003-01-01,"Russell Boyd, Peter Weir, Samuel Goldwyn Jr., Peter Weir, and Duncan Henderson",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Girl with a Pearl Earring,2003-01-01,Eduardo Serra,,1,Oscar - Best Cinematography,0,,
Seabiscuit,2003-01-01,"John Schwartzman, Kathleen Kennedy, Frank Marshall, and Gary Ross",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Oldboy,2004-01-01,Park Chan-wook,,0,,1,Cannes - Grand Prix,South Korea
Vera Drake,2004-01-01,"Mike Leigh, Mike Leigh",,1,Oscar - Best Director,1,Venise - Lion d'Or,United Kingdom
Ray,2004-01-01,"Taylor Hackford, Taylor Hackford, Stuart Benjamin, and Howard Baldwin",,1,"Oscar - Best Director, Oscar - Best Film",0,,
House of Flying Daggers,2004-01-01,Zhao Xiaoding,,1,Oscar - Best Cinematography,0,,
The Aviator,2004-01-01,"Robert Richardson, Martin Scorsese, Michael Mann and Graham King",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
A Very Long Engagement,2004-01-01,"Bruno Delbonnel, Jean-Pierre Jeunet, Jean-Pierre Jeunet",,1,"Oscar - Best Cinematography, César - Best Director, César - Best Film",0,,
The Triplets of Belleville,2004-01-01,Sylvain Chomet,,1,César - Best Film,0,,
The Ladykillers *,2004-01-01,Irma P. Hall,,0,,0,,United States
The Barbarian Invasions,2004-01-01,"Denys Arcand, Denys Arcand",,1,"César - Best Director, César - Best Film",0,,
The Sea Inside,2004-01-01,Alejandro Amenábar,,0,,1,Venise - Grand Prix du Jury,Spain
One: On the Run Two: An Amazing Couple Three: After Life,2004-01-01,Lucas Belvaux,,1,César - Best Director,0,,
Little Lili,2004-01-01,Claude Miller,,1,César - Best Director,0,,
Fahrenheit 9/11,2004-01-01,Michael Moore,,0,,1,Cannes - Palme d'Or,United States
Not on the Lips,2004-01-01,"Alain Resnais, Alain Resnais",,1,"César - Best Director, César - Best Film",0,,
Feelings,2004-01-01,Noémie Lvovsky,,1,César - Best Film,0,,
The Passion of the Christ,2004-01-01,Caleb Deschanel,,1,Oscar - Best Cinematography,0,,
Sideways,2004-01-01,"Alexander Payne, Michael London",,1,"Oscar - Best Director, Oscar - Best Film",0,,
3-Iron,2004-01-01,Kim Ki-duk,,0,,1,Venise - Lion d'Argent,
Bon voyage,2004-01-01,"Jean-Paul Rappeneau, Jean-Paul Rappeneau",,1,"César - Best Director, César - Best Film",0,,
Finding Neverland,2004-01-01,Richard N. Gladstein and Nellie Bellflower,,1,Oscar - Best Film,0,,
Tropical Malady,2004-01-01,Apichatpong Weerasethakul,,0,,0,,"France, Thailand"
The Phantom of the Opera,2004-01-01,John Mathieson,,1,Oscar - Best Cinematography,0,,
Million Dollar Baby,2004-01-01,"Clint Eastwood, Clint Eastwood, Albert S. Ruddy, and Tom Rosenberg",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Munich,2005-01-01,"Steven Spielberg, Steven Spielberg, Kathleen Kennedy, and Barry Mendel",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Brokeback Mountain,2005-01-01,"Rodrigo Prieto, Ang Lee, Diana Ossana and James Schamus, Ang Lee",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",1,Venise - Lion d'Or,United States
Broken Flowers,2005-01-01,Jim Jarmusch,,0,,1,Cannes - Grand Prix,"France, United States"
L'Enfant,2005-01-01,Jean-Pierre & Luc Dardenne,,0,,1,Cannes - Palme d'Or,"Belgium, France"
Kings and Queen,2005-01-01,"Arnaud Desplechin, Arnaud Desplechin",,1,"César - Best Director, César - Best Film",0,,
Batman Begins,2005-01-01,Wally Pfister,,1,Oscar - Best Cinematography,0,,
Département 36,2005-01-01,Olivier Marchal,,1,César - Best Director,0,,
Department 36,2005-01-01,Olivier Marchal,,1,César - Best Film,0,,
The New World,2005-01-01,Emmanuel Lubezki,,1,Oscar - Best Cinematography,0,,
Capote,2005-01-01,"Bennett Miller, Caroline Baron, William Vince, and Michael Ohoven",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Memoirs of a Geisha,2005-01-01,Dion Beebe,,1,Oscar - Best Cinematography,0,,
Regular Lovers,2005-01-01,Philippe Garrel,,0,,1,Venise - Lion d'Argent,
Games of Love and Chance,2005-01-01,"Abdellatif Kechiche, Abdel Kechiche",,1,"César - Best Director, César - Best Film",0,,
The Chorus,2005-01-01,"Christophe Barratier, Christophe Barratier",,1,"César - Best Director, César - Best Film",0,,
Mary,2005-01-01,Abel Ferrara,,0,,1,Venise - Grand Prix du Jury,"France, Italy, United States"
Crash,2005-01-01,"Paul Haggis, Paul Haggis and Cathy Schulman",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Shanghai Dreams,2005-01-01,Wang Xiaoshuai,,0,,0,,China
"Good Night, and Good Luck",2005-01-01,"Robert Elswit, George Clooney, Grant Heslov",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Babel,2006-01-01,"Alejandro González Iñárritu, Alejandro González Iñárritu, Steve Golin, and Jon Kilik",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Pan's Labyrinth,2006-01-01,Guillermo Navarro,,1,Oscar - Best Cinematography,0,,
Nuovomondo,2006-01-01,Emanuele Crialese,,0,,1,Venise - Lion d'Argent,
The Illusionist,2006-01-01,Dick Pope,,1,Oscar - Best Cinematography,0,,
The Beat That My Heart Skipped,2006-01-01,"Jacques Audiard, Jacques Audiard",,1,"César - Best Director, César - Best Film",0,,
Live and Become,2006-01-01,"Radu Mihaileanu, Radu Mihaileanu",,1,"César - Best Director, César - Best Film",0,,
The Wind That Shakes the Barley ,2006-01-01,Ken Loach,,0,,1,Cannes - Palme d'Or,"Ireland, United Kingdom, Italy, Germany"
Little Miss Sunshine,2006-01-01,"David T. Friendly, Peter Saraf, and Marc Turtletaub",,1,Oscar - Best Film,0,,
Still Life,2006-01-01,Jia Zhangke,,0,,1,Venise - Lion d'Or,China
The Queen,2006-01-01,"Stephen Frears, Andy Harries, Christine Langan, and Tracey Seaward",,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Black Dahlia,2006-01-01,Vilmos Zsigmond,,1,Oscar - Best Cinematography,0,,
The Departed,2006-01-01,"Martin Scorsese, Graham King",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Daratt,2006-01-01,Mahamat-Saleh Haroun,,0,,1,Venise - Grand Prix du Jury,"Austria, Belgium, Chad, France"
The Prestige,2006-01-01,Wally Pfister,,1,Oscar - Best Cinematography,0,,
Hidden,2006-01-01,Michael Haneke,,1,César - Best Director,0,,
Merry Christmas,2006-01-01,Christian Carion,,1,César - Best Film,0,,
Flanders,2006-01-01,Bruno Dumont,,0,,1,Cannes - Grand Prix,France
Red Road,2006-01-01,Andrea Arnold,,0,,0,,United Kingdom
Letters from Iwo Jima,2006-01-01,"Clint Eastwood, Clint Eastwood, Steven Spielberg, and Robert Lorenz",,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Young Lieutenant,2006-01-01,"Xavier Beauvois, Xavier Beauvois",,1,"César - Best Director, César - Best Film",0,,
The Child,2006-01-01,"Jean-Pierre and Luc Dardenne, Jean-Pierre and Luc Dardenne",,1,"César - Best Director, César - Best Film",0,,
United 93,2006-01-01,Paul Greengrass,,1,Oscar - Best Director,0,,
Children of Men,2006-01-01,Emmanuel Lubezki,,1,Oscar - Best Cinematography,0,,
"4 Months, 3 Weeks and 2 Days",2007-01-01,Cristian Mungiu,,0,,1,Cannes - Palme d'Or,Romania
I'm Not There,2007-01-01,Todd Haynes,,0,,1,Venise - Grand Prix du Jury,United States
Silent Light,2007-01-01,Carlos Reygadas,,0,,0,,"Mexico, France, Netherlands"
"I'm Fine, Don't Worry",2007-01-01,Philippe Lioret,,1,César - Best Film,0,,
"Don't Worry, I'm Fine",2007-01-01,Philippe Lioret,,1,César - Best Director,0,,
Days of Glory,2007-01-01,"Rachid Bouchareb, Rachid Bouchareb",,1,"César - Best Director, César - Best Film",0,,
The Mourning Forest,2007-01-01,Naomi Kawase,,0,,1,Cannes - Grand Prix,Japan
Juno,2007-01-01,"Jason Reitman, Lianne Halfon, Mason Novick, and Russell Smith",,1,"Oscar - Best Director, Oscar - Best Film",0,,
No Country for Old Men,2007-01-01,"Roger Deakins, Joel Coen and Ethan Coen, Scott Rudin, Joel Coen, and Ethan Coen",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Lady Chatterley,2007-01-01,"Pascale Ferran, Pascale Ferran",,1,"César - Best Director, César - Best Film",0,,
Redacted,2007-01-01,Brian De Palma,,0,,1,Venise - Lion d'Argent,
"Lust, Caution",2007-01-01,Ang Lee,,0,,1,Venise - Lion d'Or,"Taiwan, China, United States"
Private Fears in Public Places,2007-01-01,"Alain Resnais, Alain Resnais",,1,César - Best Director,1,Venise - Lion d'Argent,
When I Was a Singer (a.k.a. The Singer),2007-01-01,Xavier Giannoli,,1,César - Best Film,0,,
The Diving Bell and the Butterfly,2007-01-01,"Janusz Kamiński, Julian Schnabel, Julian Schnabel (nominated for the Academy Award), Julian Schnabel",,1,"Oscar - Best Cinematography, Oscar - Best Director, César - Best Director, César - Best Film",0,,
Tell No One,2007-01-01,"Guillaume Canet, Guillaume Canet",,1,"César - Best Director, César - Best Film",0,,
Michael Clayton,2007-01-01,"Tony Gilroy, Jennifer Fox, Kerry Orent, and Sydney Pollack",,1,"Oscar - Best Director, Oscar - Best Film",0,,
There Will Be Blood,2007-01-01,"Robert Elswit, Paul Thomas Anderson, Paul Thomas Anderson, Daniel Lupi, and JoAnne Sellar",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Atonement,2007-01-01,"Seamus McGarvey, Tim Bevan, Eric Fellner, and Paul Webster",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
The Assassination of Jesse James by the Coward Robert Ford,2007-01-01,Roger Deakins,,1,Oscar - Best Cinematography,0,,
Frost/Nixon,2008-01-01,"Ron Howard, Ron Howard, Brian Grazer, and Eric Fellner",,1,"Oscar - Best Director, Oscar - Best Film",0,,
La Vie en Rose,2008-01-01,"Olivier Dahan, Olivier Dahan",,1,"César - Best Director, César - Best Film",0,,
The Dark Knight,2008-01-01,Wally Pfister,,1,Oscar - Best Cinematography,0,,
Teza,2008-01-01,Haile Gerima,,0,,1,Venise - Grand Prix du Jury,"Ethiopia, France, Germany"
Persepolis,2008-01-01,"Vincent Paronnaud and Marjane Satrapi, Marjane Satrapi & Vincent Paronnaud",,1,César - Best Film,0,,France
Slumdog Millionaire,2008-01-01,"Anthony Dod Mantle, Danny Boyle, Christian Colson",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Gomorrah,2008-01-01,Matteo Garrone,,0,,1,Cannes - Grand Prix,Italy
The Reader,2008-01-01,"Roger Deakins and Chris Menges, Stephen Daldry, Anthony Minghella, Sydney Pollack, Donna Gigliotti, and Redmond Morris, Michel Deville, Michel Deville",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film, César - Best Director, César - Best Film",0,,
