Year of Film Release,Film,Film Studio,Film Studio/Producer(s),Producer(s),Production Company,Nominations,Wins
1937 (10th),In Old Chicago,20th Century-Fox,,,,,
1937 (10th),Lost Horizon,Columbia,,,,,
1937 (10th),One Hundred Men and a Girl,Universal,,,,,
1937 (10th),Stage Door,RKO Radio,,,,,
1937 (10th),A Star Is Born,Selznick International Pictures,,,,,
1938 (11th),,,,,,,
1938 (11th),You Can't Take It with You,"Columbia (Frank Capra, producer)",,,,,
1938 (11th),The Adventures of Robin Hood,Warner Bros.-First National,,,,,
1938 (11th),Alexander's Ragtime Band,20th Century-Fox,,,,,
1938 (11th),Boys Town,Metro-Goldwyn-Mayer,,,,,
1938 (11th),The Citadel,Metro-Goldwyn-Mayer,,,,,
1938 (11th),Four Daughters,Warner Bros.-First National,,,,,
1938 (11th),Grand Illusion,Réalisation d'art Cinématographique,,,,,
1938 (11th),Jezebel,Warner Bros.,,,,,
1938 (11th),Pygmalion,Metro-Goldwyn-Mayer,,,,,
1938 (11th),Test Pilot,Metro-Goldwyn-Mayer,,,,,
1939 (12th),,,,,,,
1939 (12th),Gone with the Wind,"Selznick International Pictures (David O. Selznick, producer)",,,,,
1939 (12th),Dark Victory,Warner Bros.-First National,,,,,
1939 (12th),"Goodbye, Mr. Chips",Metro-Goldwyn-Mayer,,,,,
1939 (12th),Love Affair,RKO Radio,,,,,
1939 (12th),Mr. Smith Goes to Washington,Columbia,,,,,
1939 (12th),Ninotchka,Metro-Goldwyn-Mayer,,,,,
1939 (12th),Of Mice and Men,Hal Roach (production company),,,,,
1939 (12th),Stagecoach,Walter Wanger (production company),,,,,
1939 (12th),The Wizard of Oz,Metro-Goldwyn-Mayer,,,,,
1939 (12th),Wuthering Heights,Samuel Goldwyn Productions,,,,,
1940 (13th),,,,,,,
1940 (13th),Rebecca,"Selznick International Pictures (David O. Selznick, producer)",,,,,
1940 (13th),"All This, and Heaven Too",Warner Bros.,,,,,
1940 (13th),Foreign Correspondent,Walter Wanger (production company),,,,,
1940 (13th),The Grapes of Wrath,20th Century-Fox,,,,,
1940 (13th),The Great Dictator,Charles Chaplin Productions,,,,,
1940 (13th),Kitty Foyle,RKO Radio,,,,,
1940 (13th),The Letter,Warner Bros.,,,,,
1940 (13th),The Long Voyage Home,Argosy-Wanger,,,,,
1940 (13th),Our Town,Sol Lesser (production company),,,,,
1940 (13th),The Philadelphia Story,Metro-Goldwyn-Mayer,,,,,
1941 (14th),,,,,,,
1941 (14th),How Green Was My Valley,"20th Century-Fox (Darryl F. Zanuck, producer)",,,,,
1941 (14th),Blossoms in the Dust,Metro-Goldwyn-Mayer,,,,,
1941 (14th),Citizen Kane,Mercury,,,,,
1941 (14th),Here Comes Mr. Jordan,Columbia,,,,,
1941 (14th),Hold Back the Dawn,Paramount,,,,,
1941 (14th),The Little Foxes,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",,,,,
1941 (14th),The Maltese Falcon,Warner Bros.,,,,,
1941 (14th),One Foot in Heaven,Warner Bros.,,,,,
1941 (14th),Sergeant York,Warner Bros.,,,,,
1941 (14th),Suspicion,RKO Radio,,,,,
1942 (15th),,,,,,,
1942 (15th),Mrs. Miniver,"Metro-Goldwyn-Mayer (Sidney Franklin, producer)",,,,,
1942 (15th),49th Parallel[41],Ortus,,,,,
1942 (15th),Kings Row,Warner Bros.,,,,,
1942 (15th),The Magnificent Ambersons,Mercury,,,,,
1942 (15th),The Pied Piper,20th Century-Fox,,,,,
1942 (15th),The Pride of the Yankees,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",,,,,
1942 (15th),Random Harvest,Metro-Goldwyn-Mayer,,,,,
1942 (15th),The Talk of the Town,Columbia,,,,,
1942 (15th),Wake Island,Paramount,,,,,
1942 (15th),Yankee Doodle Dandy,Warner Bros.,,,,,
1943 (16th),,,,,,,
1943 (16th),Casablanca,"Warner Bros. (Hal B. Wallis, producer)",,,,,
1943 (16th),For Whom the Bell Tolls,Paramount,,,,,
1943 (16th),Heaven Can Wait,20th Century-Fox,,,,,
1943 (16th),The Human Comedy,Metro-Goldwyn-Mayer,,,,,
1943 (16th),In Which We Serve,Two Cities Films,,,,,
1943 (16th),Madame Curie,Metro-Goldwyn-Mayer,,,,,
1943 (16th),The More the Merrier,Columbia,,,,,
1943 (16th),The Ox-Bow Incident,20th Century-Fox,,,,,
1943 (16th),The Song of Bernadette,20th Century-Fox,,,,,
1943 (16th),Watch on the Rhine,Warner Bros.,,,,,
1944 (17th),,,,,,,
1944 (17th),Going My Way,"Paramount (Leo McCarey, producer)",,,,,
1944 (17th),Double Indemnity,Paramount,,,,,
1944 (17th),Gaslight,Metro-Goldwyn-Mayer,,,,,
1944 (17th),Since You Went Away,"Selznick International Pictures (David O. Selznick, producer)",,,,,
1944 (17th),Wilson,20th Century-Fox,,,,,
1945 (18th),,,,,,,
1945 (18th),The Lost Weekend,"Paramount (Charles Brackett, producer)",,,,,
1945 (18th),Anchors Aweigh,Metro-Goldwyn-Mayer,,,,,
1945 (18th),The Bells of St. Mary's,Rainbow Productions,,,,,
1945 (18th),Mildred Pierce,Warner Bros.,,,,,
1945 (18th),Spellbound,"Selznick International Pictures (David O. Selznick, producer)",,,,,
1946 (19th),,,,,,,
1946 (19th),The Best Years of Our Lives,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",,,,,
1946 (19th),Henry V,Two Cities Films,,,,,
1946 (19th),It's a Wonderful Life,Liberty Films,,,,,
1946 (19th),The Razor's Edge,20th Century-Fox,,,,,
1946 (19th),The Yearling,Metro-Goldwyn-Mayer,,,,,
1947 (20th),,,,,,,
1947 (20th),Gentleman's Agreement,"20th Century-Fox (Darryl F. Zanuck, producer)",,,,,
1947 (20th),The Bishop's Wife,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",,,,,
1947 (20th),Crossfire,RKO Radio,,,,,
1947 (20th),Great Expectations,J. Arthur Rank-Cineguild,,,,,
1947 (20th),Miracle on 34th Street,20th Century-Fox,,,,,
1948 (21st),,,,,,,
1948 (21st),Hamlet,"J. Arthur Rank-Two Cities Films (Laurence Olivier, producer)",,,,,
1948 (21st),Johnny Belinda,Warner Bros.,,,,,
1948 (21st),The Red Shoes,J. Arthur Rank-Archers,,,,,
1948 (21st),The Snake Pit,20th Century-Fox,,,,,
1948 (21st),The Treasure of the Sierra Madre,Warner Bros.,,,,,
1949 (22nd),,,,,,,
1949 (22nd),All the King's Men,"Columbia (Robert Rossen, producer)",,,,,
1949 (22nd),Battleground,Metro-Goldwyn-Mayer,,,,,
1949 (22nd),The Heiress,Paramount,,,,,
1949 (22nd),A Letter to Three Wives,20th Century-Fox,,,,,
1949 (22nd),Twelve O'Clock High,20th Century-Fox,,,,,
1950 (23rd),,,,,,,
1950 (23rd),All About Eve,,"20th Century-Fox (Darryl F. Zanuck, producer)",,,,
1950 (23rd),Born Yesterday,,Columbia,,,,
1950 (23rd),Father of the Bride,,Metro-Goldwyn-Mayer,,,,
1950 (23rd),King Solomon's Mines,,Metro-Goldwyn-Mayer,,,,
1950 (23rd),Sunset Boulevard,,Paramount,,,,
1951 (24th),,,,,,,
1951 (24th),An American in Paris,,Arthur Freed,,,,
1951 (24th),Decision Before Dawn,,Anatole Litvak and Frank McCarthy,,,,
1951 (24th),A Place in the Sun,,George Stevens,,,,
1951 (24th),Quo Vadis,,Sam Zimbalist,,,,
1951 (24th),A Streetcar Named Desire,,Charles K. Feldman,,,,
1952 (25th),,,,,,,
1952 (25th),The Greatest Show on Earth,,Cecil B. DeMille,,,,
1952 (25th),High Noon,,Stanley Kramer,,,,
1952 (25th),Ivanhoe,,Pandro S. Berman,,,,
1952 (25th),Moulin Rouge,,John and James Woolf,,,,
1952 (25th),The Quiet Man,,John Ford and Merian C. Cooper,,,,
1953 (26th),,,,,,,
1953 (26th),From Here to Eternity,,Buddy Adler,,,,
1953 (26th),Julius Caesar,,John Houseman,,,,
1953 (26th),The Robe,,Frank Ross,,,,
1953 (26th),Roman Holiday,,William Wyler,,,,
1953 (26th),Shane,,George Stevens,,,,
1954 (27th),,,,,,,
