Year,English title,Original title,Director
1999,The Dinner Game,Le Dîner de cons,Francis Veber
1999,Place Vendôme,Place Vendôme,Nicole Garcia
1999,Taxi,Taxi,Gérard Pirès
1999,Those Who Love Me Can Take the Train,Ceux qui m'aiment prendront le train,Patrice Chéreau
2000,Venus Beauty Institute,Venus beauté (institut),Tonie Marshall
2000,The Children of the Marshland,Les Enfants du marais,Jean Becker
2000,East/West,Est - Ouest,Régis Wargnier
2000,Girl on the Bridge,La Fille sur le pont,Patrice Leconte
2000,The Messenger: The Story of Joan of Arc,Jeanne d'Arc,Luc Besson
2001,The Taste of Others,Le Goût des autres,Agnès Jaoui
2001,"Harry, He's Here to Help","Harry, un ami qui vous veut du bien",Dominik Moll
2001,Murderous Maids,Les Blessures assassines,Jean-Pierre Denis
2001,A Question of Taste,Une affaire de goût,Bernard Rapp
2001,The King's Daughters,Saint-Cyr,Patricia Mazuy
2002,Amélie,Le Fabuleux Destin d'Amélie Poulain,Jean-Pierre Jeunet
2002,Chaos,Chaos,Coline Serreau
2002,The Officers' Ward,La Chambre des officiers,François Dupeyron
2002,Read My Lips,Sur mes lèvres,Jacques Audiard
2002,Under the Sand,Sous le sable,François Ozon
2003,The Pianist,The Pianist,Roman Polanski
2003,8 Women,8 femmes,François Ozon
2003,Amen.,Amen.,Costa-Gavras
2003,The Spanish Apartment (a.k.a. Pot Luck),L'Auberge espagnole,Cédric Klapisch
2003,To Be and to Have,Être et avoir,Nicolas Philibert
2004,The Barbarian Invasions,Les Invasions barbares,Denys Arcand
2004,Bon voyage,Bon voyage,Jean-Paul Rappeneau
2004,Feelings,Les Sentiments,Noémie Lvovsky
2004,Not on the Lips,Pas sur la bouche,Alain Resnais
2004,The Triplets of Belleville,Les Triplettes de Belleville,Sylvain Chomet
2005,Games of Love and Chance,L'Esquive,Abdel Kechiche
2005,Department 36,36 Quai des Orfèvres,Olivier Marchal
2005,The Chorus,Les Choristes,Christophe Barratier
2005,Kings and Queen,Rois et reine,Arnaud Desplechin
2005,A Very Long Engagement,Un long dimanche de fiançailles,Jean-Pierre Jeunet
2006,The Beat That My Heart Skipped,De battre mon cœur s'est arrêté,Jacques Audiard
2006,The Child,L'Enfant,Jean-Pierre and Luc Dardenne
2006,Live and Become,"Va, vis et deviens",Radu Mihaileanu
2006,Merry Christmas,Joyeux Noël,Christian Carion
2006,The Young Lieutenant,Le Petit Lieutenant,Xavier Beauvois
2007,Lady Chatterley,Lady Chatterley,Pascale Ferran
2007,Days of Glory,Indigènes,Rachid Bouchareb
2007,"I'm Fine, Don't Worry","Je vais bien, ne t'en fais pas",Philippe Lioret
2007,Tell No One,Ne le dis à personne,Guillaume Canet
2007,When I Was a Singer (a.k.a. The Singer),Quand j'étais chanteur,Xavier Giannoli
2008,The Secret of the Grain,La Graine et le mulet,Abdel Kechiche
2008,The Diving Bell and the Butterfly,Le Scaphandre et le papillon,Julian Schnabel
2008,Persepolis,Persepolis,Vincent Paronnaud and Marjane Satrapi
2008,A Secret,Un secret,Claude Miller
2008,La Vie en Rose,La môme,Olivier Dahan
2009,Séraphine,Séraphine,Martin Provost
2009,A Christmas Tale,Un conte de Noël,Arnaud Desplechin
2009,The Class,Entre les murs,Laurent Cantet
2009,The First Day of the Rest of Your Life,Le Premier Jour du reste de ta vie,Rémi Bezançon
2009,I've Loved You So Long,Il y a longtemps que je t'aime,Philippe Claudel
2009,Paris,Paris,Cedric Klapisch
2009,Public Enemy Number One: Part 1 and 2,L'Instinct de mort and L'Ennemi public n°1,Jean-François Richet
2010,A Prophet,Un prophète,Jacques Audiard
2010,In the Beginning,À l'origine,Xavier Giannoli
2010,The Concert,Le Concert,Radu Mihaileanu
2010,Wild Grass,Les Herbes folles,Alain Resnais
2010,Skirt Day,La Journée de la jupe,Jean-Paul Lilienfeld
2010,Rapt,Rapt,Lucas Belvaux
2010,Welcome,Welcome,Philippe Lioret
2011,Of Gods and Men,Des hommes et des dieux,Xavier Beauvois
2011,Heartbreaker,L'Arnacœur,Pascal Chaumeil
2011,Gainsbourg: A Heroic Life,Gainsbourg (Vie héroïque),Joann Sfar
2011,Mammuth,Mammuth,Benoît Delépine and Gustave de Kervern
2011,The Names of Love,Le Nom des gens,Michel Leclerc
2011,The Ghost Writer,The Ghost Writer,Roman Polanski
2011,On Tour,Tournée,Mathieu Amalric
2012,The Artist,The Artist,Michel Hazanavicius
2012,The Minister,L'exercice de l'État,Pierre Schöller
2012,Declaration of War,La Guerre est déclarée,Valérie Donzelli
2012,Le Havre,Le Havre,Aki Kaurismäki
2012,The Intouchables,Intouchables,Éric Toledano and Olivier Nakache
2012,Pater,Pater,Alain Cavalier
2012,Poliss,Polisse,Maïwenn
2013,Amour,Amour,Michael Haneke
2013,Camille Rewinds,Camille redouble,Noémie Lvovsky
2013,"Farewell, My Queen",Les Adieux à la reine,Benoît Jacquot
2013,Holy Motors,Holy Motors,Leos Carax
2013,In the House,Dans la maison,François Ozon
2013,Rust and Bone,De rouille et d'os,Jacques Audiard
2013,What's in a Name?,Le prénom,Alexandre de La Patellière and Matthieu Delaporte
